gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5089271224	0645ccdb-e001-4ab0-9729-51f1755e007e	f4169ebe-1a22-4723-9b7a-eef2767440bd	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU	locality withheld	New South Wales	PRESENT		ef66652d-3cc3-4140-b268-a07d1e53441b	-34.062317	150.781725	100.0	1.0E-9	130.0	0.0			2018-07-10	10	7	2018	2480052	2480052	HUMAN_OBSERVATION	NSW Dept of Planning, Industry and Environment	BioNet Atlas of NSW Wildlife	ABBBS3012067	Band No:24026468			CC_BY_4_0	Environment Australia, Canberra	OPJG02021500			2025-04-30T12:07:18.904Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5088363063	0645ccdb-e001-4ab0-9729-51f1755e007e	1c8dd8ca-b82e-443a-ac7b-c06544afafc7	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU	locality withheld	New South Wales	PRESENT		ef66652d-3cc3-4140-b268-a07d1e53441b	-32.88064	151.320033	100.0	1.0E-9					2020-07-01	1	7	2020	2480052	2480052	HUMAN_OBSERVATION	NSW Dept of Planning, Industry and Environment	BioNet Atlas of NSW Wildlife	ABBBS3009254	Band No:23002932			CC_BY_4_0	Environment Australia, Canberra	OPJG02021500			2025-04-30T12:10:11.758Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5061100077	0645ccdb-e001-4ab0-9729-51f1755e007e	d773ada0-50d0-4a0a-9be3-f2c257b4e590	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU	locality withheld	New South Wales	PRESENT	2	ef66652d-3cc3-4140-b268-a07d1e53441b	-34.90789	147.80527	200.0	1.0E-9					2022-06-24	24	6	2022	2480052	2480052	HUMAN_OBSERVATION	NSW Dept of Planning, Industry and Environment	BioNet Atlas of NSW Wildlife	SMKVI0024872				CC_BY_4_0	NSW National Parks and Wildlife Service	OJJS18080102			2025-04-30T12:16:46.457Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5061044582	0645ccdb-e001-4ab0-9729-51f1755e007e	173874de-3588-4485-a000-b8bd84e43079	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU	locality withheld	New South Wales	PRESENT	2	ef66652d-3cc3-4140-b268-a07d1e53441b	-30.431647	150.323257	100.0	1.0E-9					2019-07-16	16	7	2019	2480052	2480052	HUMAN_OBSERVATION	NSW Dept of Planning, Industry and Environment	BioNet Atlas of NSW Wildlife	SMKVI0005061				CC_BY_4_0	NSW National Parks and Wildlife Service	OIXR14091500			2025-04-30T11:52:23.527Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5053224719	0645ccdb-e001-4ab0-9729-51f1755e007e	3453bcb6-6a85-4f88-86e2-09c7cbc68dba	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU	locality withheld	New South Wales	PRESENT		ef66652d-3cc3-4140-b268-a07d1e53441b	-33.777284	150.879861	100.0	1.0E-9					2021-03-30	30	3	2021	2480052	2480052	HUMAN_OBSERVATION	NSW Dept of Planning, Industry and Environment	BioNet Atlas of NSW Wildlife	SDFKI0375728				CC_BY_4_0	NSW National Parks and Wildlife Service	OPJGI0002094			2025-04-30T12:10:46.736Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5010720065	ce58b7bb-fed6-46b9-9424-135499c7afdf	6da89e0e-ee8b-46b1-8f7f-c0fb065d0015	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU		Australian Capital Territory	PRESENT		4e1336c8-6101-44ef-8dc1-8af45ba7178a	-35.3	149.1	10000.0	0.001					2021-04-23/2021-04-29		4	2021	2480052	2480052	HUMAN_OBSERVATION					Canberra Ornithologists Group		CC_BY_NC_4_0		Canberra Ornithologists Group			2025-04-17T03:45:37.292Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5010638518	ce58b7bb-fed6-46b9-9424-135499c7afdf	24cf0268-82c9-4508-904f-6af658cb5ec5	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU		Australian Capital Territory	PRESENT		4e1336c8-6101-44ef-8dc1-8af45ba7178a	-35.3	149.1	10000.0	0.001					2019-02-12/2019-02-18		2	2019	2480052	2480052	HUMAN_OBSERVATION					Canberra Ornithologists Group		CC_BY_NC_4_0		Canberra Ornithologists Group			2025-04-17T03:45:24.139Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5010498516	ce58b7bb-fed6-46b9-9424-135499c7afdf	f8008c62-d415-4ba3-9010-c8561a28205f	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU		Australian Capital Territory	PRESENT		4e1336c8-6101-44ef-8dc1-8af45ba7178a	-35.3	149.0	10000.0	0.001					2018-09-25/2018-10-01			2018	2480052	2480052	HUMAN_OBSERVATION					Canberra Ornithologists Group		CC_BY_NC_4_0		Canberra Ornithologists Group			2025-04-17T03:46:02.921Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5010347226	ce58b7bb-fed6-46b9-9424-135499c7afdf	d7dadcfa-e59f-47a7-8a53-278f293bf418	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU		Australian Capital Territory	PRESENT		4e1336c8-6101-44ef-8dc1-8af45ba7178a	-35.3	149.1	10000.0	0.001					2019-01-01/2019-01-07		1	2019	2480052	2480052	HUMAN_OBSERVATION					Canberra Ornithologists Group		CC_BY_NC_4_0		Canberra Ornithologists Group			2025-04-17T03:45:58.853Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
5010313312	ce58b7bb-fed6-46b9-9424-135499c7afdf	d16a7ee9-adcc-4cd5-b956-5b2b011b310c	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Lathamus	Lathamus discolor		SPECIES	Lathamus discolor (Shaw, 1790)	Lathamus discolor	(Shaw, 1790)	AU		Australian Capital Territory	PRESENT		4e1336c8-6101-44ef-8dc1-8af45ba7178a	-35.3	149.1	10000.0	0.001					2018-04-16/2018-04-22		4	2018	2480052	2480052	HUMAN_OBSERVATION					Canberra Ornithologists Group		CC_BY_NC_4_0		Canberra Ornithologists Group			2025-04-17T03:46:02.535Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
